id,वाक्य
1,﻿काठमाडौंमा पहिलो पटक स्ट्रबेरीको व्यवसायिक खेती सुरु भएको छ 
2,अर्कोतिर निर्यात समेत गर्न सकिन्छ
3,विदेशमा लामो समयसम्म काम गरेकोले पनि आफूले स्वदेशमा बसेर केही गर्न खोजेको उनले बताए
4,"विशेष गरी जापान, कोरिया, थाइल्याण्ड, इजरायल लगायतका देशमा यसको उत्पादन हुन्छ"
5,महोत्सवमा नेपाली हिरो
6,फिल्ममा निरौलाले मुख्य भुमिकामा अभिनय पनि गरेका छ
7,रिलिज मिति तोकेर पनि प्रदर्शनबाट पछि हटिरहेको फिल्म
8,हामीले गरेको प्रारम्भिक अध्ययन अनुसार निजी क्षेत्रबाट सञ्चालित जलविद्युत 
9,तपाइँले नयाँ त्यस्तो केही डिजायन दिनु भाछ ?
10,कुर्ता सुरुवाल की अन्य केही ?
11,युवतीहरुले लगाउने मात्र कि अन्य पनि छ ?
12,सत्तापक्षले विभिन्न बहानाहरू बनाइरहेका छन् । 
13,थुप्रै पहाडी समुदायहरू यता पनि छन् ।
14,खोइ त कसैले भनेको ?
15,महाभारत पनि पाँच गाउँका कारण भएको थियो ।
16,कसैलाई कोभन्दा को कम भन्ने घमन्ड छ ।
17,नेपाल अहिले त्यहीँ अवस्थामा छ ।
18,यसबाट राष्ट्रिय संकटबाट देशलाई नयाँ दिशानिर्देश गर्न हामी माओवादीले सक्छौँ भन्ने माओवादीको नयाँ कोर्स सुरु हुनेछ ।
19,अब विदेशी कामदारहरुलाई एसएमएस तथा फोनबाटै समेत साउदीको श्रम कानूनबारे जानकारी दिइने छ ।
20,आजबाट २१ दिनभित्र जागिरका लागि दरखास्त दिन सकिने निगमले जनाएको छ ।
21,दुवै परिवारको आर्थिक अवस्था दयनीय भएकाले छिमेकीले अन्न र आर्थिक सहयोग जुटाउनका लागि पहल थालेका छन् ।
22,नयाँ आइफोनमा कस्ता सुबिधा थपिनेछन भन्ने अहिले नै स्पष्ट भएको छैन् ।
23,नाफा कमायो ।
24,असरबाट बच्न के गर्ने ?
25,जसले शरीरको रोग प्रतिरोधात्मक क्षमतालाई कमजोर बनाउँछ ।
26,जनताले देखेका छैनन् ।
27,नखेलाउने हुँदा प्रतिबन्धले उनीहरुमा कुनै प्रभाव नपार्ने शोधकर्ताहरु बताउँछन् ।
28,तिघ्रामाथि राखेर चलाउँदा चुम्बकीय तरंगले महिला तथा पुरुषको सन्तान उत्पादन गर्ने क्षमतामा गम्भीर असर पारी बाँझोपन निम्तिन सक्छ ।
29,ल्यापटपलाई लामो समयसम्म तिघ्रामाथि राखेर चलाउनु हुँदैन ।
30,त्यस्तै ६६ केभीएभन्दा माथिको प्रसारण लाईनबाट फाइबर तान्न नपाइने समेत निर्णय गरेको छ ।
31,फेसबुकले आफ्ना प्रयोगकर्ताको गेम खेल्ने आदतको बारेमा नयाँ तथ्यांक सार्वजनिक गरेको छ ।
32,महभिर सदरमुकामबाट करिब एक घन्टाको पैदल दूरीमा पर्दछ ।
33, ग्राहकले हरेक टेस्ट ड्राइभ र बुकिङमा पनि आकर्षक उपहारहरु प्राप्त गर्न सक्नेछन् ।
34,यो अफर मे महिनाको अन्त्यसम्म लागू हुनेछ ।
35,अहिले कुन अवस्थामा छन् ?
36,तिनीहरूमध्ये पनि एसएलसी तह वा त्यसभन्दा प्लस टु तहसम्मको शिक्षा पूरा नगर्नेहरू धेरै छन् ।
37,त्यस्ता युवालाई टेफको जस्ता विशिष्ट प्रशिक्षणले के प्रभाव पार्छ ?
38,नेपालको होटल व्यवस्थापन शिक्षाप्रति तपाईंको धारणा के छ ?
39,अन्त्यमा नेपालको पर्यटन उद्योगलाई के सुझाव दिन चाहनुहुन्छ ?
40,कुनै पनि क्षेत्र वा देशको रातारात प्रगति हुँदैन ।
41,दुर्योधनहरूको कालो नुन जो खाएका छन् !
42,हेर्दै मुस्कुराएँ।
43,मेट्रोमा चढें।
44,बिचरो बिदुर ! एक्लै चिच्याइरहेछ
45,अक्टोबर ४ मा भएको कार्यक्रममा स्रष्टाद्धय दिपेन्द्र थूलूङ राई र लाहाङ चेम्जोङलाई सम्मान गरिएको थियो ।
46,"मेरो नयाँ साथी, मेरो नयाँ साथी!"
47,सदस्य एवम् विभिन्न च्याप्टर अध्यक्षका पदका लागि उम्मेदवारी परेको छ।
48,प्राप्त परिणामले भाविस्यका लागि अपेक्षाका थप ढोका खोली दिएको छ।
49,पहिले त्यसले ट्रकलाई वरिपरि घुमेर हेर्यो।
50,महिला संयोजकमा तारा ढकाल र युवा संयोजकमा सुरज डुम्रेलाई निर्वाचित गरेको छ ।
51,"तैपनि, आप्पाले उसलाई देखाउनु भएको मायाचाहिँ उसले बुझ्यो।"
52,अटेर गरेर गाडी चलाइरहनु भएको आप्पाको काखमै बस्यो।
53,डा.श्रेष्ठले नेपाली दूतावासलाई धन्यवाद ज्ञापन गरे।
54,घरमा मेरी सानी छोरी छे।
55,संभाव्यताबारेको कार्यपत्र प्रस्तुत गरेका थिए ।
56,नवगठित आयोगले प्रारम्भिक बालशिक्षादेखि उच्च शिक्षाका विषयवस्तुसम्बन्धी एकीकृत मार्गचित्र तयार पार्नेछ ।
57,आयोगका उपाध्यक्षले राज्यमन्त्री र सदस्यहरूले विशिष्ट श्रेणीसरह सुविधा पाउने छन् ।
58,आयोगलाई काम थालेको ४ महिनाभित्र अन्तिम प्रतिवेदन बुझाउने कार्यादेश तोकिएको छ ।
59,विश्वविद्यालय तथा तिनका लागि उपयुक्त देशका बारेमा परामर्श प्रदान गर्दै आइरहेको छ ।
60,भूगोल र विद्यार्थी संख्याको समेत अध्ययन गरेर शिक्षक दरबन्दी मिलाउन गरिने जनाइएको छ ।
61,२ जीपीए ल्याएका मात्रै निजामती सेवा प्रवेश गर्न पाउने लोकसेवा आयोगको मापदण्ड छ ।
62,"सरकारको ध्यान शैक्षिक सुधारमा भन्दा पनि कसरी हुन्छ, विद्यार्थीले बढी प्रगति गरेको देखियोस् भन्नेमा केन्द्रित थियो ।"
63,"यस नतिजाले सम्बन्धित शिक्षकहरू मात्र होइन, हाम्रो सरकार, राजनीतिज्ञ, शैक्षिक नीति निर्माता र शिक्षा प्रशासकहरूको गैरजिम्मेवारी पनि उदांगो पारेको छ ।"
64,शिक्षाको स्तर उकास्न हाम्रा राजनीतिक दलहरूको खासगरी सरकारको तीव्र प्रतिबद्धता चाहिन्छ ।
65,कागजी मुद्रा अर्थात् बैंक नोटको सर्वस्वीकार्यता आजसम्म निर्विवाद छ ।
66,निकायबाट जारी बैंक नोटलाई नै ग्राह्यता दिने ठूलो समूह समाजमा यद्यपि छँदैछ ।
67,नबिल बैंकले नेपालमा नबिल भाईबर बैकिङ्ग सेवाको शुरुवात गरेको छ ।
68,मेगा बैंक छाडेर अनिल शाहले सेञ्चुरी कमर्सियल बैंकको जिम्मेवारी सम्हाल्ने भएका छन् ।
69,कामना सेवा विकास बैंकको बुधबार सम्पन्न विशेष साधारणसभाले १५ प्रतिशत हकप्रद सेयर जारी गर्ने निर्णय गरेको छ ।
70,अफगानिस्थान करिव १३ वर्ष पछि पहिलो पटक आफ्नै सैनिकहरुको बलबुतामा उभिने तयारीमा रहेको छ । 
71,लडाकुले यो गर्मीमा देश भरिका थुप्रै प्रान्तहरुमा आक्रमणलाई तिब्र पारेका छन् ।
72,"संवाददाताहरु भन्छन्, राष्ट्रसंघीय उड्डयन निकायको नयाँ प्रस्तावित नियम लागू गर्न कुनै नयाँ प्रविधिको जडान आवश्यक छैन् र तत्कालै लागू गर्न सकिन्छ।"
73,त्यसअघि गत मार्चदेखि हराईरहेको मलेसियन एयरलाइन्सको विमान अझै भेटिएको छैन्।
74,अधिकारीका अनुसार एक र दुर्इ अगष्टमा भएको सो घटनामा ती सबै महिलालार्इ पटक पटक गरेर हत्या गरिएको हो ।
75,संयुक्त राज्य अमेरिकाका राष्ट्रपति बराक ओबामाले नेपाली मुलकी अमेरिकी चेलीलाई सल्लाहकारमा नियुक्त गरेका छन् ।
76,सो अवसरमा स्कटल्याण्डको परम्परागत ब्यागपाइपर बाजा पनि बजाइएको थियो।
77,तिहारको अवसर पारेर जापानमा सामुहिक टिका लगाइएको छ ।
78,रिंगिटमा देखिएको गिरावट १ वर्ष वितिसक्दा पनि खासै सुधार हुन सकेको छैन ।
79,यो वर्ष पनि आफूलाई दर्शक माझ पस्किँदै थुप्रै युवा युवती नेपाली रजतपटमा डेब्यू गरे ।
80,"ति मध्यकी एक हुन्, आँचल शर्मा ।"
81,म आज भन्दा चार पाँच वर्ष अगाडीसम्म पनि नेपाली मुभी हेर्दिन थिएँ ।
82,जति हेर्थें ति सबै हिन्दी मात्र हुन्थे ।
83,दुवै शोजमा दर्शकहरुको बाक्लो उपस्थिती रहेको बताईएको छ ।
84,फिल्मका नायक सविन श्रेष्ठले यसै फिल्ममा पहिलो पटक कमेडी रोल समेत गरेको बताए ।
85,"‘यसमा कमेडी रोल पनि छ, एक्सन र सस्पेन्स पनि छ’ सविनले भने ।"
86,"जिउँदै छँदा श्रद्धाञ्जलि दिन गरिएको हतारले उनी उपचाररत न्युरो अस्पताल, बाँसबारीलाई समेत हैरान बनायो।"
87,यसपटक दुई देशले विश्वकपमा डेब्यु गर्दैछन् ।
88,पहिलो पटक फुटबलको सर्वोच्च प्रतियोगिता खेल्न लागेका यी दुई टिम आइसल्यान्ड र पनामामाथि सबैको नजर हुनेछ ।
89,संयोगले दुवै देश क्षेत्रफल र जनसंख्याको दृष्टिकोणले साना छन् ।
90,"विदेशबाट कर नतिरी सुन ल्याउन पाइन्छ भन्ने भ्रममा नपर्नुस्, महसुल तिर्नुपर्छ, कति? हेर्नुस् विवरण"
91,हिजोको संसार आज कहॉ पुग्यो विकासको गतिले।
92,हरेक दिन हरेक हप्ता त्यहाँबाट प्रसारण हुने कार्यक्रमहरु सुन्ने हेर्नेहरुको भिडमा हामी धेरै सामेल भएकै छौँ।
93,मेरो कलेज एक अमेरिकी विश्वविद्यालयसँगको सहकार्यमा सञ्चालित थियो ।
94,देश परिवर्तनका संवाहकमध्ये म पनि एक हुँ ।
95,दुई बर्षअघिको बैशाखमा आएको भुकम्पपछि वैदेशिक रोजगारीमा जाने कामदारको संख्या घटेको छ ।
96,तर विडम्बना नै भनौ उनीहरुले कमाएको पैसा रेमिटेन्सका रुपमा नेपाल भित्रिएको छैन ।
97,यस्तै अटोलोनमा पनि अनावश्यक रुपमा कर्जा प्रवाह भएको छ ।
98,नेपाल भित्रने रेमिट्यान्सको वृद्धिदर पनि उच्च थियो भने व्यापार घाटा पनि केही कम थियो ।
99,यसैगरी गत आवको नाफाबाट सेयरधनीलाई ४० करोड रुपैयाँभन्दा बढी बोनस सेयर वितरण गर्ने लक्ष्य लिएका छौं ।
100,पहिलो प्राथमिकता कृषि नै हो ।
101,तर सुनुवाइ हुने वातावरण सांसदहरूकै पहलले तयार पार्ने हो । 
102,कतिपय त बोल्न नाम लेखाएर पालो आएका बेला अनुपस्थित हुन्छन् जुन गैरजिम्मेवारीको पराकाष्ठा हो ।
103,उनका बुवा–आमा उपचार खर्च जुटाउने कार्यमा रहँदैआएका छन् ।
104,बैठकमा बस्नेहरू प्राय: बोल्न नाम टिपाएकाहरू मात्र हुन्छन् र बोलिसकेपछि अधिकांश हिँडिहाल्छन् ।
105,दोस्रो विश्वयुद्धको समयमा जर्मनीमा बनेको विमान दुर्घटनामा पर्दा बीस यात्रु ज्यान गएको छ ।
106,दुर्घटनाको कारण विष्फोटन नहुनसक्ने सङ्केत देखिएको प्रत्यक्षदर्शीले बताएका छन् ।
107,तर खोजी र उद्धारका लागि पाँच हेलिकोप्टर पठाइएको जनाएको छ । 
108,२०१६ देखि जुलाई २०१८ को अवधिमा भएका ५०० भन्दा बढी झडप ।
109,उनका अनुसार विपक्षी नेता नेलसन चमिसाले ४४ दशमलव ३ प्रतिशत मत पाएका छन्  ।
110, विमान दुई हजार ५०० मिटरको उचाईमा रहेका समय दुर्घटनाग्रस्त भएको एटीएसले जनाएको छ ।
111,तीन महिनाअघि उनीहरुले अष्ट्रेलियाबाट चारवटा बोका र २४ वटा पाठी भित्र्याएका हुन् ।
112,समूहगत रुपमा शुरु गरिएको यो फर्म चार बिगाहा क्षेत्रफलमा फैलिएको छ ।
113,भारतको छत्तीसगढको सुक्मा नजिक सोमबार सुरक्षा कारबाहीमा १५ जना नक्सलवादी माओवादी विद्रोही मारिएका छन् । 
114,यहाँका अधिकांश किसानले लगाएको अदुवामा रोगको संक्रमण देखिएको छ ।
115,तर अहिले बाली निकाल्ने बेलामा देखिने रोगको खास उपचार नै छैन।
116,"माटो बनाएर मल पुर्याएर खेती नलगाए रोगले झनै सखाप पार्छ”, आचार्यले भने।"
117,कामको जिम्मेवरीसँगै भू–स्वामित्व र निर्णय अधिकारमा पहुँच हुनुपर्छ भन्ने कुरा महसुस गर्न सकेका छैनन्।
118,महिलाले प्रायजसो मुख्य समय कृषि काममा लगाउँछन्।
119,घरायसी र कृषि कामबाहेक समुदायका थुप्रै काममा महिलाको जिम्मेवारी थपिएको छ।
120,हाम्रो दुइटा घर थिए।
121,बर्षा पनि भयो र हिउँदको हिउँ पनि।
122,तर हामीले भोगिरहेको हाम्रो दैनिकी भने जस्ताको तस्तै छ।
123,यो एक बर्षमा आइ पर्ने चाडबाड आए गए।
124,सकिए।
125,अहिले पनि हामी छौ।
126,भर्खरभर्खर पाएको लेखिकाको नयाँ ट्यागलाइ लिएर म दंग थिएँ।
127,"म श्रीमती, छोरा, छोरी छन्।"
128,घन्टालाई साठीले गुणा गरे मिनेट निस्केला।
129,ल बधाई छ भन्दा मुसुक्क हाँस्दै धन्यवाद दिन्थेँ। 
130,एक मन यस्तो छुच्चाको घरमा के भाडा तिरेर बसेको हुँला भनेर मैलाई पछुतो लाग्यो।
131,पुसको ठण्डीमा बाहिर वा छतमा बसेर स्टोभमा भात पकाउन सजिलो कहाँ हुन्थ्यो र?
132,यो एक बर्षमा आइ पर्ने चाडबाड आए गए।
133,कम्पनीले यो कन्सेप्टमा अब धेरै फेरबदल नगर्ने संकेत गरेको छ ।
134,कारमा १.२ लिटर पेट्रोल इन्जिन र १.५ लिटर डिटीएसआई डीजल इञ्जिन हुनेछ ।
135,निसान कम्पनीले उत्पादन गर्ने ब्रान्ड हो ।
136,बुटस्पेस उपलब्ध गरिएको कम्पनीको भनाई छ ।
137,संकुचित सोचले गर्दा वार्ता परिणाममूखी हुन सकेको छैन ।
138,यता देउवा र शशांकको जितलाई पनि कुनै उल्लेख्य नयाँ र उदेकलाग्दो घटना मान्नुपर्ने छैन ।
139,"गगन पछिल्लो समय युवा पंक्तिमा मात्र होइन, सबै उमेर समूहका नागरिकले केही आशा गरेर हेरिएका नेता पनि हुन्, गैरकांग्रेस वृत्तमा पनि ।"
140,"कार्ययोजना, कार्यदल र कार्यतालिका नै बनाएर निश्चित काम गर्ने रोडम्याप तयार पारियो ।"
141,"जनही  ३०,००० सेवा शुल्क दिनेगरी म्यानपावर कम्पनी पनि चयन गरेछन् । "
142,"र, काम हाल पेण्डिंगमा छ ।"
143,अन्तै छन् भन्ने पनि इंगित गरिरहेको छ ।
144,यो अन्तिम तथा पूरक प्रश्नको जवाफ भने आज पर्यन्त आइपुगेको छैन ।
145,"तबसम्म फ्री भिषा फ्री टिकटको रागले कुनै अर्थ, असर र आशातीत परिणाम दिने छैन ।"
146,यही नै सुधारतर्फको मेरो यात्राको प्रस्थान बिन्दु हुनेछ ।
147,"मैले जोड दिएर यसरी ठगिएर, लुटिएर नआउन भनें तर, उसले मानेन, म असफल भएँ ।"
148,"जसलार्इ न त ती नाराले छुन्छन, न त अरू कसैको माग र आवाजले ।"
149,अब फेरि कहिल्यै गर्दैन पनि ।
150,असर र आशातीत परिणाम दिने छैन ।
151,आफ्नो सहयात्री बनाउने भन्ने विषयमा देउवालाई ठूलै सकस परेको देखिन्छ ।
152,त्यसले नेपाली कांग्रेसको छविमा पनि दाग लगाउन सक्छ ।
153,अभ्यास लगभग उन्मूलन भएको भन्दै गर्व गर्छन् ।
154,विषयगत क्षमता र निष्पक्षताले ठाउँ पाउँछ ।
155,"सही निर्णय हुँदैन, भए पनि विवाद र शंकाको घेरामा पर्छ ।"
156,अब पनि देखाउलान् ।
157,जस्तो कि अहिले लोकमानसिंह कार्कीबाट भइरहेको छ ।
158,अभाव भएर कुशासन हावी भएको स्पष्ट हुन्छ ।
159,विदेश भ्रमण भारतको सट्टा चीनबाट गर्न सक्छन् ।
160,यसबाट नेपाली अर्थतन्त्रमा थप झड्का लाग्यो ।
161,"त्यस्तै यसले नेपाललाई चीन, थाइल्यान्ड र म्यानमारसँग पनि जोड्छ जसले दक्षिण एसिया र दक्षिणपूर्वी एसियाको सम्पर्कलाई वृद्धि गर्छ ।"
162,यसले भारतलाई अझ खुल्न प्रोत्साहन गर्नेछ ।
163,सामान्यतया नेपाली प्रधानमन्त्री चीनभन्दा भारतबाट नै आफ्नो पहिलो विदेश भ्रमण सुरु गर्छन् ।
164,"तर, सडकको अवस्था डरलाग्दो गरी खराब थियो ।"
165,भूकम्पपछिको विच्छेदका कारण ठूलो परिणाममा सहयोग गर्न सकेन ।
166,युवा जनशक्ति पलायनको अर्को चुनौती पनि छ ।
167,त्यसलाई भने अन्त्य गर्नैपर्छ ।
168,१३औँ महाधिवेशनको संघारमै पुगिसक्दा कांग्रेसभित्र नीतिमाथि भन्दा नेतामाथि बहस चुलिएको छ ।
169,महाधिवेशनबाट युवाको सबल उपस्थिति होस् भन्नेमा हाम्रो विशेष जोड हुनेछ ।
170,यस्तो संकटलाई न्यूनीकरण गर्न नेपालको आग्रहमा चीनले तेल उपलब्ध गरायो ।
171,"त्यो वर्ग त्यो भाषामा कुरा गर्छ, जुन आम मानिसको भाषा होइन ।"
172,राष्ट्रविरोधी नाराहरूबाट प्रत्यक्ष रूपमा कति भारतीय प्रभावित भए भन्ने स्पष्ट छैन ।
173,यसलाई उदाहरणसहित व्याख्या गर्न सकिन्छ ।
174,"संगीतलाई छाडेर उनीहरूका सांस्कृतिक प्राथमिकता जसमा टिभीका सिरियल र सिनेमा पनि पर्छ, सबै अंग्रजीको सामग्री हुन्छन् ।"
175,हरेक वर्ष कुपोषणबाट पाँच लाख भारतीय बच्चाहरूको मृत्यु हुन्छ ।
176,"डा. केसीले प्रश्न उठाएर अनशन बस्ने कार्य राजनीतिक, प्रशासनिक र कानुनी हिसाबले पनि त्यति उचित छैन ।"
177,संविधानको मर्म र भावनाअनुरूप सबैले काम गर्नुपर्नेमा दुईमत छैन ।
178,हल्का विषयमा पनि अनशनजस्तो महाअस्त्र प्रयोग गर्दा त्यसको मूल्य र प्रभावकारिता घट्छ ।
179,डा. केसीप्रति  सम्मान सदैव रहनेछ ।
180,मुलुक नयाँ चरणमा अघि बढ्न लागेका वेला नयाँ इस्यु जन्माएमा हामीबीच रहँदै आएको सद्भाव खल्बलिने सम्भावना प्रबल हुन्छ ।
181,चित्त नबुझ्दो भए पनि महाअभियोग लगाउने कार्य जनप्रतिनिधि सहभागी हुने व्यवस्थापिका संसद्को हो ।
182,"प्रदेशको सांगठनिक संरचना पनि अहिले भएको केन्द्र, जिल्ला, क्षेत्र र एकाइ समिति जस्तै हुने हो ।"
183,६० प्रतिशत कर्मचारीको हिस्सा करमुक्त हुनेछ र यसका लागि करसम्बन्धी कानुनमा परिवर्तन गर्नुपर्छ ।
184,धेरै टाढा गएर उभिन्छौ भने तिमी पनि शत्रुजस्तै देखिन्छौ ।
185,बजार सुन्दर र सडकहरु चिल्ला छन् ।
186,जसलाई सरकारले पुरा गर्नासाथ उनीहरुलाई मुक्त गरिएको माओवादीको भनाई छ ।
187,"किनभने सबै राज्यको ढुकुटी सेनाको ब्यारेकमा थियो, हामीले त्यसलाई कब्जा गर्न सकेनौँ ।"
188,तेस्रो बजेट पनि पेस भइसक्यो ।
189,तर सामान्य जनसाधारणका लागि भने यसमा केही छैन ।
190,आज नेपाली सेनाको इन्द्रबक्स गण उनलाई अघिल्तिर पारेर बसेको छ जसका कर्नेल छन् राजु कार्की ।
191,विशेष गरी बा आमासँग भेटघाटको अवसर जुराउँथ्यो।
192,आ आफ्ना  संस्कृति झल्किने गरगहना र पोशाक लगाइ आफ्नो संस्कृति प्रतिको प्रेम दर्शाउछौं।
193,तीज हिन्दु नारीहरुको मात्र नभएर सम्पुर्ण नेपालीनारीहरुको महान पर्व वनेको छ यो खुसीको कुरा हो ।
194,चेतनाको विकाससँगै यो चलन निकै कम भएको छ ।
195,"विहे गरेर पराइघर गएका चेलीवेटीहरुलाई बाबु, दाजुभाइ वा भदैहरु उनीहरुको घरमा लिन जाने  र मिलेसम्म लिएर आउने चलन थियो ।"
196,"गीत गाउने, नाच्ने गर्थे दाजुभाइहरुले मादल वजाइदिन्थे ।"
197,"यसै गरी आजको एक्काइसौं शताब्दीमा आइपुग्दा हरेक कुरा परिवर्तन भएको छ, तीज परिवर्तन हुन किन नहुने ?"
198,"संसारमा धेरै देश, जात र धर्मका मान्छेहरु छन ।"
199,"तर सबैको पहुँच पुग्ने हिसावले सहज, सभ्य र भव्य तरीकाले मनाउनु पर्छ ।"
200,हामी यो रहस्य वुझ्न खोज्दैनौ ।
201,अमेरिकी कारबाहीका घटनाहरुप्रति विश्वले नै आँखा चिम्लिदिएको थियो ।
202,किनकी ट्रम्पको कार्यकाल त अझै सुरु पनि भएको छैन 
203,उनी संयुक्त राष्ट्रसंघका पूर्व उपमहासचिव पनि हुन् ।
204,शशी थरुरको यो लेख राससबाट लिइएको हो ।
205,अमेरिकाले माथिका तीनै मोर्चामा आफूलाई सफलसिद्ध बनाएको छ ।
206,"तर, नदेखिएका लोकमानको बारेमा कहिल्यै चर्चा भएन र होला जस्तो पनि लाग्दैन ।"
207,सडकदेखि सदन खनिएको छ ।
208,"‘नासुमै हो दाइ, बढुवा हुन सकिएन,’ भाइ चाहिा खिन्न भए झैं सुनाए ।"
209,काठमाडौंको महँगीमा जेनतेन चलेको छ दैनिकी ।
210,ल दाइ पनि ! मेरै हो नि ।
211,चार वर्षदेखि म सरकारी कर्मचारी छु ।
212,उनीहरु सानको जिन्दगी बिताइरहेका छन् ।
213,"तर, नदेखिएका लोकमानको बारेमा कसले आवाज उठाउने ?"
214,"तर, यस्ता कुरामा कसको ध्यान जाने ?"
215,दलका नेताहरूले राजनीतिमा लाग्दाको हैसियत र लागिसकेपछिको हैसियत खुलस्त गर्ने हो भने भ्रष्टाचारको जरो उखेल्न बेर लाग्दैन ।
216,बुवाको बारम्बारको यो भनाइले दाइको मन घोच्छ ।
217,तैपनि बोल्ने ठाउँ छैन ।
218,त्यो कसरी सम्भव भयो ?
219,खोज्दै जाने हो भने नदेखिएका लोकमानहरु कति छन् कति ।
220,यी दुई जनाको हैसियतमा आकाश-पातालको फरक छ ।
221,"व्यवस्थित ,सन्तुलित र समयसापेक्ष बनाउनका लागि मद्दत गर्दछ ।"
222,वकिलहरु पनि न्यायाधीश बन्नका लागि ज्यान फालेर लाग्ने गरेका प्रशस्तै उदाहरण छन् ।
223,"लक्ष्मण आर्याल, अनुपराज शर्मा देखि सुशीला कार्कीसम्मको इतिहास हेर्दा पनि थाहा हुन्छ कि वकिलबाट आएका न्यायाधीशहरु तुलनात्मकरुमा क्षमतावान् हुने गरेका छन् ।"
224,"यसको कारण विषयवस्तुमाथिको गाम्भीर्यता , मेहनती, लगनशील र बढी खट्न सक्ने विशेषता हो ।"
225,न्याय दिने कुरामा हेलचेक्र्याइँ गर्नु हुँदैन ।
226,यसले न्याय प्रणालीलाई नै ध्वस्त पार्छ ।
227,विशेष ध्यान दिनैपर्छ ।
228,"यसमा हाम्रा बाध्यता के थिए, समीक्षा हुँदै जालान् ।"
229,नेपाली सर्वसाधारण जनताद्वारा कालो झन्डाले स्वागत गरेर सुरुवात किन नगर्ने ?
230,जसलाई सरल अनि बुझिने भाषामा दलाली भनिन्छ।
231,महिलाको सिट लेखिएको अगाडिको सिटमा दुई जना पाको उमेरका र दुई जना भर्खरका ठिटी बसेका थिए ।
232,यस्तो बच्चा बोकेको महिला चढेपछि खुरुक्क सिट छोडदिनुपर्छ नि !
233,"म पहाडकी छोरी हुँ, पहाडिया भन्दा गर्व लाग्छ ।"
234,मधेसकाले आफू मधेसी भएको प्रमाण दिन्छ ।
235,"त्यही भएर मात्र हो, नत्र मलाई केही गुनासो छैन ।"
236,"जागिर खाँदा त्यो आरक्षणको जति मूल्य हुन्छ, जागिर खाइसकेपछि पनि त्यसको इज्जत गर्न सिकौं ।"
237,आफ्नो पहिचानमा इज्जत र सम्मान गरौं ।
238,पहिलो कुरा त हामी सबै नेपाली नागरिक हौं ।
239,"त्यसैगरी जनजाति, दलित, अपांगहरूले आफ्ना प्रमाण पेश गर्छन् ।"
240,समाज त आफै परिवर्तन हुन्छ र एकदिन साम्यवादमा प्राकृतिकरुपमा नै पुग्छ ।
241,कुरा के हो कमरेड ?
242,विश्वका मजदूर एक हौं भन्ने नारा हाम्रो होइन र ?
243,तपाईहरुको समग्र रातो इतिहासमा कालो मसी पोखिरेहेको छ ।
244,म दिउँसै पनि सपना देख्थेँ । 
245,यही दौरानमा हामी नेपालीहरु पनि अघि पछि दौडिरहेका छौँ ।
246,तर अन्त्यमा टिमको प्रदर्शन भने निकै निराशाजनक हुन्छ ।
247,"विश्व फुटबलमा जति बेला इंग्ल्यान्ड मैदानमा हुन्छ, त्यसको चर्चा बढी हुन्छ ।"
248,टिममा खासै नाम चलेका बलर छैनन ।
249,मुम्बईले पछिल्लो पटक उपाधि जित्दाको टिमलाई नै कायम गरेको छ ।
250,रोहित शर्मा र जेपी डुमेनीले टिमको ब्याटिङ क्रम सम्हाल्नेछन् ।
251,रकम समेत पठाउन सकिने भएकोहो ।
252,एन्ड्रोइड तथा वेबमा केहि दिनमा प्रयोगमा आउने फेसबुकले जनाएको छ ।
253,मस्त निद्रालाई ब्रेक दिएर पनि मानिसहरु स्मार्टफोनमै झुण्डिइरहेका हुन्छन् ।
